id	filename	md5	size	state
00156c51-2686-4736-88c1-c30c81ec0a12	2807d45f-9e15-4e06-8336-de7295fc7509.htseq.counts.gz	dd08cd38f41acda8d3ad72524988ae70	254070	live
001fe63b-06c8-4ca1-861a-3d1dd0fdf5fc	b4474f7c-f371-4ecb-8c2f-cd7b5d5d243b.htseq.counts.gz	557f5c3102e7c7309bb43687735756cb	254519	live
002c6f93-606c-4d4a-855a-aaf52b035c29	6d27be54-6210-431e-b460-247587c5ab8d.htseq.counts.gz	39112088d74995e10b4313855180d06b	254255	live
002c7ead-0e16-4a3f-ae29-5ffcfdcd2e3a	c45fe186-f0ba-4017-a8f6-a511c1b000eb.htseq.counts.gz	8fada0020d5ccd1a03fade4d4f1bbb86	256287	live
00331c0a-23f0-4724-9c0f-5e37f971f26f	b2a6c9e3-65eb-43bd-849a-5829007379ab.htseq.counts.gz	19ae8fda8cd34b2017d32ceb60362b4e	259013	live
0077ddf1-c0ed-485e-87b2-a7f3a7133a86	dfe06359-c16a-4959-bb04-298f18474a17.htseq.counts.gz	db0b72ccdf652045a27089049cc4a3d4	257412	live
00a9fc98-9f19-4a73-ae62-048fd7923b66	e30e547e-eeff-4a1f-829b-b6ec9e79f02a.htseq.counts.gz	dba6382b9b6dbc61d7d8ae47ee1e8db9	252723	live
00af6745-18ba-4c18-9b9e-95e79d5915b8	02759563-fa2b-4d96-ab78-dd7fee7513d4.htseq.counts.gz	d72d0743bd8db63a20dc215ec9e0298f	247608	live
00c05634-5eb9-4555-885c-4b24cfc0c8fa	d8fea32d-3ef0-4d7b-8b3e-7619ec2ad987.htseq.counts.gz	ae8b573c27c19d7a5580398c0964fa31	250213	live
00ea1e0e-85f8-4903-bc87-98167d07fb34	171a4828-984e-4225-b16c-c0bd6c319e06.htseq.counts.gz	5483f4886087e5023e5b2b5047324519	252463	live
01543acc-2ec7-4a07-bcdf-c2de83b72965	c64c76e7-635c-458e-a032-07775aeb03d9.htseq.counts.gz	ef3d2f6f07bde0c32c008b54d4c7fe6c	257434	live
0168550b-f361-49e2-832e-913e9e783240	2eeb46a1-0422-4a77-b58d-3b7d57d51b44.htseq.counts.gz	b11432b3e7e9ece3a8a31d84d7ddc693	258320	live
01c84d3b-497e-41e3-86d4-e3cb6021c8bd	39d6716f-d898-494e-9f41-7972de1e6670.htseq.counts.gz	b32f6305861346ca0c980fb439ad6edf	252810	live
01ca4ce4-f8d0-4a72-99e2-9e88b820906b	a19e31ff-1afa-4e25-8c79-28b922052ff2.htseq.counts.gz	302dd1ab3cd7c470e6f6d8a2e47b8b81	250455	live
02800091-2990-476e-bc00-e179b9494710	f828b2e0-2ad4-4669-9f1e-2ef2dd74706d.htseq.counts.gz	ae24a5c83c95da7b2ae9b5d70c2fe104	247232	live
02a1aabc-844d-4498-9b49-f914cbd05db4	2ac83384-33be-4500-b1fa-9d19eb2de6fe.htseq.counts.gz	c80e6875f2e7423d9a8450c3acb609fd	252042	live
02a9963a-a736-4ce6-ad84-82e84153433c	73f7d513-46c8-4559-86cf-8b789c042e32.htseq.counts.gz	31be0b49dac96e45815a449e6bfab1f1	255913	live
02bede57-6d7d-441f-9fb9-b4bb1c8d5f4d	ccd1ad3e-4220-41ff-b3a8-bead01b1eaf8.htseq.counts.gz	d29251214ef6092e757b029e11279396	256041	live
033393d5-58a2-4513-9e09-bc95a70e0be5	78e16228-2d9f-4e19-bbd2-b0bb85e8faa2.htseq.counts.gz	450ee16aebf7831d501443afc7d194f6	257959	live
0356f77f-9275-402a-a7a9-2b907a82a207	4fe7951d-87fd-49b7-91d6-1d455415daa1.htseq.counts.gz	45d868bf79c20575a73541c10685162a	251638	live
0389c08d-927d-4254-8d7f-f44963594db3	2826bcb9-5ddb-49c5-96fd-a3dba5885e7a.htseq.counts.gz	c4f5255f3e0d553ac2a2dbfd4eae8610	257186	live
038dae03-2315-4a62-a454-7a1062017b00	24d7f10a-ac34-4f7e-8424-d2fc0d32ac58.htseq.counts.gz	f18bb6e3f23e6925d558720cbed202ef	254268	live
039648fe-aee6-48c2-961e-fb157ad71cfc	03895e36-d4e0-4849-a0f1-26550373338d.htseq.counts.gz	03aee1fdd0962c7e33ec79b06d10b340	255157	live
03a14fd4-7f25-4a71-a5ca-40602c3f1c9d	3201fd37-ac44-450b-8a85-058ead558da2.htseq.counts.gz	966794ca96047c8ab59a98a58e330773	247501	live
0436168e-36ed-42e9-9ee9-d9aaf661547b	6999d309-8502-49ee-8d80-9d0bde00081f.htseq.counts.gz	16d4e23927588388086b2a8a1743490c	250749	live
044af24d-3c91-41f3-a93f-12e805b08d2e	b02d1d2d-13e3-4246-ba2f-ae22d934c776.htseq.counts.gz	a08f87fe0c7d0f7d43a76788290ef7a8	257360	live
0456ed20-9674-46fc-81d3-5ca49ab57b6e	d952c1a5-7755-4702-9f65-3ebc2edbb057.htseq.counts.gz	f22cb57991cc175cfb6a4e1ce6c1f71b	254233	live
