id	filename	md5	size	state
14532cbf-876f-4b89-852d-56722fc99f98	62299b4e-203a-4f74-a2d9-94e0617acfb8.htseq.counts.gz	4ebfee25804f40754c364c775acc7da9	252768	live
14c1f879-634e-4f99-9526-bd47144ad933	5c0f9cb8-cc53-49ce-8384-6acb54cb1855.htseq.counts.gz	7e4b7ff7813e3b6de42eca2d56e599b1	255677	live
1d04fa8a-42cc-49ab-bd10-3e0aed4a8507	9683e884-734f-4487-97e6-5ada5e3d3ebc.htseq.counts.gz	30e7055c71f5933f68ca1efe7be1c3a3	257652	live
2651f14d-5340-457d-a246-48ffc5861ea0	5627702f-b816-439c-8ae2-43b51d455432.htseq.counts.gz	1ff2e2f278f06780424e4a2b62fd8368	254649	live
26562f3a-6491-477c-888b-8cd9e994233a	eaee0d82-cd7e-47a5-859f-59b7bf5ad6a0.htseq.counts.gz	897f346dab66ff1dc05bc48eecf5853c	267556	live
28d20cb9-7ff1-4653-917f-5dfabf7b1940	be8c6402-fb97-4c31-8a18-a5b4783a1726.htseq.counts.gz	a75bf2e2f7e37a060cb68aaac7e08a33	251128	live
2b910e19-170e-4f6a-b5a5-6ff4c218aa41	446db9e9-d5aa-48ba-a84d-cf6a7d8f8fc4.htseq.counts.gz	c3356c1c9c843e76b6a9539db6f7551c	254470	live
2e416755-899c-44fc-828e-0911b77bcc84	95041603-df86-48f7-9ba5-8289883df2d0.htseq.counts.gz	deb0efc67f28f8558f13fa6b46ff517c	255401	live
2f17f6de-2278-4d1e-ac84-524bf54a5fe1	a1a68fe9-9635-4b7f-b9a2-34474ef8c1dc.htseq.counts.gz	e71a3b244ae9e0bf3ac8290db77774b0	253788	live
3560fd9a-f134-4e95-ae7e-efc75ad33b3e	7bca938a-45fa-4a07-ba7b-71796388e645.htseq.counts.gz	20ea8552fe5e32dd6867dc9a07b567b9	250329	live
3999296c-e924-4fcf-934d-afa6f2306cba	0a3fb653-84e8-426a-999a-8dc8127dfd6d.htseq.counts.gz	0f773f61ef57010658155d35d6dea1db	250476	live
4e3d3b6a-e77d-4dc3-9d0b-d20d4199f15f	8a987f43-454e-4b94-a2ec-6079c58eb99b.htseq.counts.gz	c9e6bee0faf4753db2a1d674010f66b4	252286	live
4ede034d-9058-4750-9f83-6af2d3b62858	6b59b355-7581-426d-98c1-36e132a77c4e.htseq.counts.gz	8bc256a5842987ec885f7f94da8419e5	250992	live
51484f3d-972d-4c2a-b7f0-13c406bdcfb4	17be1b8a-4b2d-499a-9847-37656dea85a8.htseq.counts.gz	3d36fa83507c58af993c754253bdbac6	256999	live
551d3a58-88f4-4ccd-8b7a-0d86c4c69ce4	b3b6981a-b5db-481c-bc27-76a114856b03.htseq.counts.gz	133386a9b5781b17fa8a9d4be036272d	250918	live
573b6ee3-5d0b-4e71-a167-3531e38340d9	7f92fd47-9938-4069-bc1d-ce6d7d6c1dc4.htseq.counts.gz	216a1272b9462cad12fe66165884cfb9	254455	live
6260e131-1380-4f8b-b82d-8fc86e5725c9	c633bd52-3f48-49b8-bb20-2aad7b910a47.htseq.counts.gz	7d26accf733748ad159d6672109706c5	256242	live
65fa7d28-a6e0-442d-8678-2a1dd5e7de0f	b6a39fab-afc2-4498-bb4c-95adeb388c6f.htseq.counts.gz	05fd0c7df67a9a799fe828ef5050e3f8	255365	live
66349271-e9d6-468b-bd25-5e649c8177b6	15b1a310-59b4-41e8-bbc3-19131f12ee09.htseq.counts.gz	6708338d46be3aa04f68e1e19163630d	257982	live
68079610-e412-4c9a-a646-c2c748aca727	0cad7bff-30bd-4c4a-accf-876422f3cb6a.htseq.counts.gz	630dcbb1a4f7e4dbcc03d4727c87f759	259082	live
6d864350-d0a4-4bdb-9eb5-b61cbf6415f5	49e76e89-2cca-45da-91ac-e4c8c9c4d35e.htseq.counts.gz	7e05b64be2c6659515d939e79d63a251	250122	live
71a04e7f-bd9b-4ebc-bcd8-83d52f7a655f	f95c523a-cfb0-4b7e-9a66-48dcf9d24515.htseq.counts.gz	7c1513343afa50436e3d520dbd60a609	252771	live
75ee2909-b949-45f8-b3cb-87806d223efa	aa42dd76-efb1-4fb7-9922-cf54540844e7.htseq.counts.gz	db5a5b8fdf6ddea66a4b06307acb69a6	252534	live
79971a7b-a37c-4154-add6-d0781805cec3	9f0d673f-ff69-4d01-910c-f04921b538a2.htseq.counts.gz	973d26d5fa6d4222389fc8435351554f	254603	live
839acec6-3fb2-4c47-bde6-598adea4135b	44355367-8f17-4d9b-94de-993036a280f3.htseq.counts.gz	6df9acbdad3098c6b218944b0dd02d05	254436	live
9310a90b-0adc-4024-a11f-c1d76062e3f5	c87fff18-9dff-41c1-8ec7-99a581e404b4.htseq.counts.gz	f8e98c429ce353241711f2706ed3337b	257483	live
aaad18a4-17b4-43cb-984c-ad491c54b7f6	f4a128be-6910-49c3-9f0c-b6bd702ab7ce.htseq.counts.gz	cdee0fd19c6105b7ef36578c7c87e23b	259279	live
b1d84ba0-bcf9-43be-8413-a20078a866ef	0c7d119e-22c0-47ed-b736-3404ab2c7065.htseq.counts.gz	0c6f57fa24aedf0ec2dac5f7c711a6e1	257316	live
b78740ea-66ee-4ed4-b5e8-a2b2ae621c33	9da11996-ba83-4163-bc96-c20a038ee77b.htseq.counts.gz	7f4f67f8a14519c3baa666eeb2b83475	260099	live
b9cc9d9a-33a0-4bed-90a0-23b3840d74ed	d46b61b0-6f34-48ca-8c7d-23ae4d0b1a7c.htseq.counts.gz	925263308be8a9f95a91af22a86029ca	255666	live
bde7dd8f-ee95-40dc-a508-b666ea2d5505	73bcbb60-38af-4143-95e9-1a842cdf9c20.htseq.counts.gz	525ff7d895d1332cc34d1b4d8bcb5923	253859	live
c1e11e10-ce12-44a1-86fe-1f28072b90f2	f31566a9-ffde-40fa-b879-71827a3540a9.htseq.counts.gz	b8b065636fd669adf9e43792529a0e06	257759	live
c63349d2-265f-49c8-a8f0-8b19530f8967	00511204-3512-4a5e-b664-60271e968903.htseq.counts.gz	31fd8aa8213c84ad2c70694008ffdfdf	250331	live
c66bfdc3-873c-413b-b6d6-495f3b43c0e9	7af2075c-0386-4971-ae25-375330ef6cec.htseq.counts.gz	1844ef7e20fd1901c021a786256d2827	255513	live
